Geneid	SRR10416711
693235	0
7059	71
4580	343
2630	10
2629	2
10712	0
10067	0
1196	0
57657	0
5313	0
2224	2221
284618	2
23623	1036
55870	2482
693140	0
645682	0
645676	23
55154	232
55249	1697
7818	2143
100129405	47
54856	1058
23208	0
6016	305
22889	845
677823	1
677771	0
339403	1
9181	3192
102465442	0
105371729	3
6746	2601
56893	1986
28956	438
57111	782
92312	61
4000	15581
64218	488
9673	960
11243	194
100527963	0
632	4
79957	33
23381	2767
84283	98
112770	906
391104	0
7203	9411
128229	25
57127	0
10485	0
407046	0
4209	1451
128239	1282
164118	0
128240	934
54865	1415
101928177	0
60484	1
63827	62
10763	1231
1382	2719
81875	2087
51093	324
79590	592
3068	18274
5546	1677
9047	142
4914	1
3645	0
375033	365
149499	0
9826	1230
768220	0
440695	0
2117	872
360155	2
83416	0
83417	0
115352	0
79368	0
115350	0
922	0
55243	2358
646268	4
912	0
909	0
911	0
910	0
913	0
128360	0
391107	0
391109	0
343406	0
391112	0
128366	0
128367	0
128368	0
6708	0
81448	0
391114	0
128371	0
128372	0
81442	0
4332	0
149628	0
3428	7132
9447	144
100189166	0
57863	0
100131825	0
2532	0
2205	0
441911	0
26476	0
127385	0
325	0
1401	0
54935	174
343413	0
56833	0
284677	11
391123	11
25790	34
100422852	0
8407	14030
57549	313
89886	18
100505633	14
93183	270
3766	3
3765	0
93185	553
477	0
480	0
844	0
729867	5
8682	1876
50717	1487
5824	1185
4807	1
1314	5633
474338	2
23385	3328
57216	70
114836	4
8832	0
6504	0
962	0
57823	20
4063	0
51744	0
55600	1
101928372	0
142683	0
50848	5266
100131187	160
7391	675
257106	24
81607	212
126823	6
5202	950
4817	395
9191	565
51506	859
27005	472
5498	122
8703	500
9507	0
4720	1776
2207	0
336	0
84134	310
100847090	2
9970	6
654790	1
4359	11
6391	1181
257177	155
100189373	0
100189407	0
100189402	0
100188997	0
100189412	0
100189394	0
100189366	0
100189091	0
100189260	0
100189235	0
100189009	0
100189252	0
100189385	0
100189141	0
100189290	0
100189316	0
100189230	0
100189259	0
100189188	0
100189134	0
100189364	0
100189160	0
100189017	0
100189039	0
100189120	0
100189139	0
100189274	0
2212	0
100189380	0
3310	11
100189018	0
100189011	0
100189126	0
2214	0
9103	0
3311	0
100189003	0
2215	0
2213	0
641311	0
84824	0
127943	23
11266	416
102724329	1
22926	2278
25903	2
9722	45
100616386	0
693141	0
284680	0
400793	88
117157	13
127933	3587
6675	1009
4921	14
51478	210
339512	838
5999	130
8490	34
101928404	0
83540	626
100422212	0
5087	2482
100505795	0
4009	0
6258	0
400794	0
440699	0
4259	508
223	1166
440700	0
54499	1900
100147773	5
7371	1523
100500832	0
149297	3
100126349	0
116123	1
57645	1348
117143	205
387597	5
84944	0
10223	1
92235	0
101928484	0
5451	1533
919	2
8804	1654
92241	0
100189211	0
100189019	0
9019	3210
55811	1
25874	506
55827	1171
100313835	0
23432	133
261726	1144
375035	152
84832	185
9095	23
693142	0
100505918	1
101928565	0
6846	2
6375	21
1805	0
79100	0
101978719	0
101928596	178
481	4127
29922	314
8548	670
57821	10
10560	264
2153	139
6403	9
6402	468
6401	5
92342	104
55732	519
57147	201
22920	302
149281	1
100423010	0
100422839	0
284688	0
101928650	0
92344	160
5396	0
80133	0
2328	0
100302178	0
100847009	0
388714	0
2327	0
2326	1
2329	5
7151	1
23215	12323
4653	0
8674	151
51603	827
26052	41
100874284	0
100628315	3
406996	0
100422882	0
406977	0
102724541	4
92346	0
5279	288
51430	919
356	0
8995	3
7292	0
100506023	8
101928673	10
9588	3518
284525	0
730159	0
339416	1
27252	355
91687	349
55157	1499
100506046	0
60674	1016
26769	3
26802	8
26774	21
26770	6
692198	2
26806	51
692197	4
692196	17
692195	0
619498	20
84614	50
462	2
149041	1013
102724601	4
9910	594
9293	0
101928696	0
27101	2978
63931	386
63923	0
9674	722
7143	0
101928727	0
101928751	0
64326	533
677679	0
60676	0
460	0
574441	0
57795	16
102724661	0
101928778	0
89866	107
730102	62
100302401	49
9462	1604
400797	11
84066	0
105373472	1
400798	18
100616328	0
55103	773
9068	1
9917	1603
64222	923
27	1020
6646	1222
126859	2
7827	0
163589	2
148753	0
163590	1723
26092	1298
9857	1633
5768	3852
200058	892
89884	19
100527964	55
84320	561
100423032	0
148756	0
9213	1305
57710	23
10228	1887
3140	471
51278	1190
101928973	1
100287948	0
777	1
127665	0
400799	0
2752	8495
127670	1
388719	0
353299	0
6041	166
6004	49
284648	0
85397	0
80896	185
1660	9484
81626	0
3915	7022
3918	22902
23057	32
284649	6
9887	4117
4688	229
10092	2548
23179	50
403314	0
23127	1
116461	528
102724846	0
81563	282
80267	1170
116496	1219
101929069	0
6045	518
81627	433
54823	49
10625	1526
100288079	0
101929093	0
83872	4
10216	2
7175	6255
54953	507
10896	8
102724919	0
5132	4
5743	1139
103752588	11
5321	795
104169671	0
101929766	0
339479	0
101929120	0
440704	0
64407	1
431704	0
5996	0
6003	0
100616345	36
5997	549
102724954	2
51377	1928
6738	853
51022	216
79577	1158
100302163	0
8707	0
101929184	1
343450	0
100616363	0
3075	3628
10878	16
3078	0
10877	15
3080	0
81494	0
2165	0
259266	4002
360023	264
23418	0
163486	123
388722	19
56956	13
140609	1844
127124	0
5788	0
100131234	12
406955	0
406995	0
102800316	0
104266961	0
400800	0
2494	24
554279	1
23528	709
9928	1310
83479	331
101929224	5
23271	1452
2848	0
55765	1044
23046	172
779	0
647219	0
252839	206
91156	0
5317	5865
7139	0
3898	6776
7135	28
23612	727
1465	4558
376693	7
89796	83
100873949	2
100847050	0
100302158	0
55705	3860
102466724	3
149345	2
25802	0
10440	1109
6051	1737
102465443	0
1999	978
9283	3
127829	236
5778	1
148713	1
59352	181
29089	697
4660	1342
127833	25
10765	1185
100506696	4
641515	0
148709	1
5877	280
59349	967
51094	3517
51706	614
100506747	3
92703	1427
8497	9
4656	0
134	0
4608	0
1116	0
1118	0
100506775	0
730227	0
7832	328
2331	9
5549	1
26254	0
493	862
677843	0
84719	4
54900	1
9877	3824
100381270	496
6635	414
284573	0
9580	2401
55224	33
101929441	0
5972	4
3814	7
127845	2
22874	452
127841	3
84919	1621
5287	708
100189122	2
100189425	0
4194	397
10446	0
23114	54
6900	0
388730	11
5929	767
25778	336
9911	4
81788	286
55220	0
284576	0
93273	0
101669762	5
105371697	2
442891	0
100189098	0
5129	180
284578	1
148808	15
2005	2007
85414	123
64710	13070
8934	319
254428	923
148811	0
284581	69
115019	10
103021296	0
103021295	5
338382	12
1510	18
440712	0
553	0
729533	196
23380	905
9641	1022
102466202	0
83593	259
1939	588
8444	211
9261	1967
3586	0
29949	27
50604	0
11009	0
9214	21
5284	145
83953	0
79098	1872
5208	1186
55432	645
725	33
722	0
1604	3685
1380	2
1378	0
1379	0
4179	4056
407026	2
407025	0
148696	1
947	3
105372883	2
5362	3495
642587	2849
406988	23
57172	1
3914	5573
100422894	0
50486	92
3290	0
80342	62
148304	163
3664	4009
27042	1086
255928	2
574036	10
56256	80
105373474	0
55733	24
3756	0
55758	449
7188	110
84791	18
343035	3
7779	415
4751	787
9926	1259
102723727	0
25896	1207
51514	1375
100131205	28
100422947	0
101929541	4
5525	431
692157	0
55248	138
29937	191
101929565	0
467	49
149647	0
55509	1
25936	400
128387	82
149643	0
642946	89
28982	421
79805	7
90806	361
26750	342
100505832	0
100861504	0
5629	3
105372911	0
56950	648
5784	3097
1063	8310
3776	1
101929612	0
51133	1486
7399	2
102723833	0
2104	2
55105	407
128153	1
103752555	0
100885798	0
101929631	0
51018	868
728463	1
7042	615
103611157	0
643723	7
127018	228
102723886	0
55532	0
2058	5488
10380	368
55699	2657
406997	0
406969	0
25782	1327
100302234	0
677818	0
6791	15
4139	496
79762	75
54996	182
64757	374
101929730	0
100873924	0
105373280	0
3142	1
400804	0
11221	292
101929771	0
100189378	0
79802	1
9015	343
100506161	3
375056	1660
64853	771
148362	1237
400823	1
84976	41
7100	23
55061	24
164127	4
388743	8
824	12841
7159	1391
105369195	108
441124	18
23219	1232
8560	826
101927143	0
101927164	2
4931	675
100313769	1
29097	515
80232	2311
100616468	0
149111	41
127602	218
3930	1579
55740	2634
6726	2824
2052	280
9725	553
10637	0
29920	974
102466270	0
7044	0
163859	685
3020	3114
64746	1482
83881	0
